NAME,Description,NK.cells,endothelial.cells,fibroblasts,macrophages,memory.B.cells,memory.CD4.T.cells,memory.CD8.T.cells,myeloid.dendritic.cells,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,others,regulatory.T.cells,monocytes
ENSG00000000971,CFH,0.013000000000000001,0.9109999999999999,5.897,0.049,0.005,0.04,0.016,0.027000000000000003,0.0,0.003,0.0,0.049,0.003,0.047
ENSG00000002933,TMEM176A,0.055,0.10800000000000001,3.7039999999999997,1.565,0.016,0.016,0.013999999999999999,2.1519999999999997,0.015,0.02,0.0,0.762,0.012,0.0
ENSG00000003147,ICA1,0.07,0.522,0.013000000000000001,0.073,0.034,0.35100000000000003,0.04,0.03,0.06,0.142,0.036000000000000004,0.102,2.295,0.031
ENSG00000003436,TFPI,0.026000000000000002,3.031,2.9530000000000003,0.024,0.006999999999999999,0.003,0.01,0.032,0.0,0.006,0.0,0.138,0.002,0.022000000000000002
ENSG00000004799,PDK4,0.047,2.233,6.102,2.399,0.016,0.022000000000000002,0.024,0.214,0.024,0.046,0.011000000000000001,0.79,0.018000000000000002,0.371
ENSG00000006327,TNFRSF12A,0.028999999999999998,0.092,1.986,0.031,0.01,0.012,0.018000000000000002,0.034,0.013999999999999999,0.006999999999999999,0.0,0.177,0.02,0.066
ENSG00000006576,PHTF2,0.18100000000000002,0.17800000000000002,0.152,0.22399999999999998,0.284,0.6970000000000001,0.284,0.19399999999999998,0.302,0.21600000000000003,0.064,0.136,1.347,0.0
ENSG00000007237,GAS7,0.166,0.078,0.419,0.31,0.021,0.011000000000000001,0.027000000000000003,0.212,0.035,0.013000000000000001,0.0,0.07,0.016,0.35100000000000003
ENSG00000007264,MATK,3.0869999999999997,0.053,0.017,0.06,0.046,0.21,0.603,0.035,0.127,0.166,0.12,0.055999999999999994,0.04,0.073
ENSG00000007312,CD79B,0.248,0.332,0.085,0.055,3.053,0.11699999999999999,0.08,0.05,4.9639999999999995,0.139,0.151,0.369,0.562,0.049
ENSG00000007908,SELE,0.0,1.334,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.002,0.0,0.001,0.0,0.0
ENSG00000008394,MGST1,0.013000000000000001,0.02,0.541,0.149,0.013000000000000001,0.013999999999999999,0.012,0.068,0.012,0.016,0.006999999999999999,0.826,0.015,0.222
ENSG00000008517,IL32,3.478,2.988,2.04,0.9279999999999999,0.358,9.442,10.93,1.33,0.688,4.187,2.897,3.505,23.278000000000002,0.166
ENSG00000010278,CD9,0.07200000000000001,4.486000000000001,1.217,0.637,0.035,0.11800000000000001,0.35100000000000003,0.14800000000000002,0.071,0.1,0.17800000000000002,1.99,0.037000000000000005,0.0
ENSG00000010327,STAB1,0.027000000000000003,0.49,0.022000000000000002,1.396,0.005,0.011000000000000001,0.01,0.10099999999999999,0.01,0.004,0.0,0.01,0.012,1.3630000000000002
ENSG00000010438,PRSS3,0.06,0.076,0.005,0.012,0.008,0.017,0.043,0.019,0.016,0.005,0.0,0.659,0.0,0.036000000000000004
ENSG00000011198,ABHD5,0.183,0.272,0.3,0.6990000000000001,0.151,0.21600000000000003,0.244,0.29100000000000004,0.094,0.129,0.11699999999999999,0.174,0.233,0.0
ENSG00000011422,PLAUR,0.057,0.244,0.948,6.185,0.023,0.078,0.035,2.322,0.019,0.042,0.008,0.332,0.032,6.254
ENSG00000011465,DCN,0.006999999999999999,0.047,35.113,0.038,0.027999999999999997,0.012,0.013999999999999999,0.022000000000000002,0.003,0.01,0.0,0.037000000000000005,0.018000000000000002,0.113
ENSG00000011600,TYROBP,14.305,0.121,0.18600000000000003,27.713,0.054000000000000006,0.057999999999999996,0.321,13.959000000000001,0.04,0.040999999999999995,0.033,0.679,0.07200000000000001,28.003
ENSG00000012124,CD22,0.012,0.013000000000000001,0.021,0.037000000000000005,1.122,0.003,0.006,0.039,2.138,0.01,0.0,0.016,0.006,0.024
ENSG00000012171,SEMA3B,0.0,0.045,0.159,0.013000000000000001,0.011000000000000001,0.008,0.009000000000000001,0.017,0.005,0.006,0.0,0.261,0.01,0.0
ENSG00000013588,GPRC5A,0.004,0.066,0.418,0.024,0.005,0.008,0.009000000000000001,0.017,0.003,0.012,0.012,0.312,0.013000000000000001,0.032
ENSG00000015413,DPEP1,0.013000000000000001,0.016,0.021,0.018000000000000002,0.016,0.023,0.013000000000000001,0.013000000000000001,0.019,0.02,0.016,1.442,0.011000000000000001,0.0
ENSG00000015568,RGPD5,0.285,0.077,0.040999999999999995,0.068,0.11199999999999999,0.138,0.182,0.073,0.087,0.092,0.086,0.068,0.11199999999999999,0.0
ENSG00000016490,CLCA1,0.028999999999999998,0.039,0.017,0.034,0.017,0.034,0.033,0.027999999999999997,0.011000000000000001,0.032,0.016,2.542,0.04,0.07400000000000001
ENSG00000017427,IGF1,0.016,0.12,2.546,0.7609999999999999,0.008,0.006,0.008,0.05,0.0,0.002,0.0,0.132,0.006999999999999999,0.6459999999999999
ENSG00000018280,SLC11A1,0.026000000000000002,0.027000000000000003,0.049,0.6859999999999999,0.018000000000000002,0.034,0.032,0.051,0.02,0.034,0.044000000000000004,0.016,0.027999999999999997,0.379
ENSG00000018408,WWTR1,0.009000000000000001,2.267,0.8320000000000001,0.006999999999999999,0.006999999999999999,0.009000000000000001,0.026000000000000002,0.013999999999999999,0.002,0.006999999999999999,0.0,0.03,0.022000000000000002,0.001
ENSG00000019144,PHLDB1,0.045,0.344,0.953,0.045,0.018000000000000002,0.027999999999999997,0.032,0.087,0.018000000000000002,0.028999999999999998,0.0,0.073,0.031,0.0
ENSG00000019549,SNAI2,0.0,0.111,1.3230000000000002,0.002,0.001,0.0,0.002,0.004,0.0,0.0,0.0,0.016,0.0,0.004
ENSG00000021488,SLC7A9,0.013000000000000001,0.004,0.004,0.002,0.002,0.004,0.001,0.0,0.002,0.003,0.0,0.198,0.004,0.0
ENSG00000021645,NRXN3,0.004,0.006,0.015,0.001,0.0,0.001,0.002,0.006,0.0,0.002,0.0,0.055,0.002,0.0
