from	to
229819_at	ENSG00000121410
206797_at	ENSG00000156006
204639_at	ENSG00000196839
216705_s_at	ENSG00000196839
203440_at	ENSG00000170558
203441_s_at	ENSG00000170558
224229_s_at	ENSG00000117020
224229_s_at	ENSG00000275199
219393_s_at	ENSG00000117020
219393_s_at	ENSG00000275199
212607_at	ENSG00000117020
212607_at	ENSG00000275199
242879_x_at	ENSG00000117020
242879_x_at	ENSG00000275199
242876_at	ENSG00000117020
242876_at	ENSG00000275199
212609_s_at	ENSG00000117020
212609_s_at	ENSG00000275199
222880_at	ENSG00000117020
222880_at	ENSG00000275199
207086_x_at	ENSG00000236362
206640_x_at	ENSG00000236362
208235_x_at	ENSG00000236362
208155_x_at	ENSG00000236362
207739_s_at	ENSG00000236362
232260_at	ENSG00000256628
232259_s_at	ENSG00000256628
207078_at	ENSG00000133997
210104_at	ENSG00000133997
207079_s_at	ENSG00000133997
208388_at	ENSG00000278570
208385_at	ENSG00000278570
222161_at	ENSG00000077616
222161_at	ENSG00000285516
1554506_x_at	ENSG00000077616
1554506_x_at	ENSG00000285516
1554504_at	ENSG00000077616
1554504_at	ENSG00000285516
1554507_at	ENSG00000077616
1554507_at	ENSG00000285516
233815_at	ENSG00000077616
233815_at	ENSG00000285516
1559546_s_at	ENSG00000275529
228370_at	ENSG00000275529
216850_at	ENSG00000275529
241834_at	ENSG00000275529
213447_at	ENSG00000275529
1559342_a_at	ENSG00000275529
1559343_at	ENSG00000275529
1559545_at	ENSG00000275529
221974_at	ENSG00000275529
232976_at	ENSG00000206656
232976_at	ENSG00000278715
232976_at	ENSG00000277785
213447_at	ENSG00000275127
1559545_at	ENSG00000275127
1559342_a_at	ENSG00000275127
1559343_at	ENSG00000275127
221974_at	ENSG00000275127
228370_at	ENSG00000275127
241834_at	ENSG00000275127
1559546_s_at	ENSG00000275127
216850_at	ENSG00000275127
1559545_at	ENSG00000278089
1559546_s_at	ENSG00000278089
1559343_at	ENSG00000278089
213447_at	ENSG00000278089
221974_at	ENSG00000278089
241834_at	ENSG00000278089
228370_at	ENSG00000278089
1559342_a_at	ENSG00000278089
216850_at	ENSG00000278089
1559342_a_at	ENSG00000273835
241834_at	ENSG00000273835
1559546_s_at	ENSG00000273835
221974_at	ENSG00000273835
228370_at	ENSG00000273835
216850_at	ENSG00000273835
1559343_at	ENSG00000273835
1559545_at	ENSG00000273835
213447_at	ENSG00000273835
1559342_a_at	ENSG00000275524
228370_at	ENSG00000275524
1559545_at	ENSG00000275524
241834_at	ENSG00000275524
216850_at	ENSG00000275524
213447_at	ENSG00000275524
1559546_s_at	ENSG00000275524
1559343_at	ENSG00000275524
221974_at	ENSG00000275524
224997_x_at	ENSG00000284010
224646_x_at	ENSG00000284010
1559342_a_at	ENSG00000278123
