NAME,PP cell,blood vessel endothelial cell,enteroendocrine cell,fibroblast,macrophage,pancreatic A cell,pancreatic D cell,pancreatic acinar cell,pancreatic ductal cell,type B pancreatic cell
ENSG00000000003,54.077,62.993,32.705,11.337,0.132,209.852,29.394,115.071,749.937,36.817
ENSG00000000971,0.703,1.527,6.372,45.939,0.000,1.728,0.249,25.894,208.332,0.259
ENSG00000001084,87.973,5.806,32.573,9.304,0.000,163.836,43.247,43.600,108.320,36.855
ENSG00000001497,58.424,6.834,36.949,17.240,4.571,235.401,29.162,41.687,127.724,98.065
ENSG00000001626,1.412,1.165,167.255,0.246,0.107,5.674,1.316,78.571,5569.367,2.074
ENSG00000001629,73.360,4.970,36.485,12.347,0.024,193.205,25.504,31.778,115.240,56.070
ENSG00000002016,31.767,6.927,41.000,10.025,1.006,185.149,21.971,16.049,45.857,54.415
ENSG00000002549,48.453,18.574,35.683,52.893,0.165,210.366,29.920,80.710,267.575,76.335
ENSG00000002587,4.456,4.208,16.428,0.147,34.541,19.961,2.914,7.379,165.641,12.941
ENSG00000002726,4.486,0.022,20.693,0.042,0.000,46.807,7.670,1.501,2.219,1.289
ENSG00000002919,55.122,4.549,52.831,13.557,9.619,211.283,19.840,29.088,100.095,82.031
ENSG00000003096,17.391,0.000,2.906,3.219,0.000,43.408,1.218,15.061,35.376,1.850
ENSG00000003249,32.838,0.423,14.734,0.109,0.000,132.954,10.359,117.061,160.254,30.797
ENSG00000003436,168.291,13.354,231.012,180.249,1.913,261.654,89.783,253.564,515.045,35.870
ENSG00000003987,80.195,0.047,21.795,1.232,0.000,447.430,16.000,0.769,4.901,65.011
ENSG00000004399,39.800,80.029,16.103,36.777,0.422,56.374,2.324,9.808,8.417,36.977
ENSG00000004468,2.542,0.030,9.344,0.111,33.764,5.606,0.888,0.619,2.529,0.710
ENSG00000004660,54.163,1.983,36.726,1.495,3.661,148.173,24.912,7.262,4.443,124.351
ENSG00000004700,23.312,10.185,38.611,80.634,7.501,160.931,14.990,31.217,89.981,101.335
ENSG00000004766,47.658,16.985,41.209,6.437,2.220,194.278,23.385,19.745,91.073,68.467
ENSG00000004776,1.018,0.056,0.178,22.399,0.000,8.283,3.931,0.041,1.698,75.711
ENSG00000004799,473.429,13.243,107.846,90.899,0.063,5745.860,106.111,100.207,219.942,189.287
ENSG00000004961,37.725,11.168,10.181,24.210,2.906,123.489,23.987,29.242,119.675,85.620
ENSG00000005001,8.277,0.000,12.451,0.776,0.024,118.443,5.545,44.294,305.184,29.738
ENSG00000005007,81.692,2.380,22.926,6.335,3.783,229.319,20.181,28.233,79.837,43.255
ENSG00000005020,55.505,12.304,34.582,84.563,14.965,178.374,30.947,39.620,88.533,43.970
ENSG00000005059,12.463,3.585,28.395,8.512,0.132,227.900,25.112,15.260,27.764,256.249
ENSG00000005108,350.083,0.000,21.353,0.093,0.000,18.618,33.048,7.597,63.780,29.048
ENSG00000005156,51.139,0.108,23.339,12.799,0.080,174.279,13.526,20.030,46.854,40.814
ENSG00000005187,35.911,0.181,29.752,1.564,6.259,127.031,1.324,46.771,368.228,15.300
ENSG00000005189,9.087,0.008,22.283,0.408,0.030,108.866,0.946,5.673,19.161,3.486
ENSG00000005238,10.129,8.259,30.751,12.471,0.000,48.590,6.873,17.949,62.656,20.351
ENSG00000005249,56.072,0.152,3.116,4.513,0.000,12.469,12.811,0.210,27.030,59.854
ENSG00000005421,11.909,0.000,7.575,0.214,0.000,5.462,15.241,0.087,1.453,25.658
ENSG00000005471,48.772,0.153,1.438,1.670,0.000,23.112,3.443,0.159,12.326,5.889
ENSG00000005801,93.301,3.128,36.981,10.807,1.356,249.379,30.315,48.340,175.986,79.705
ENSG00000005812,66.825,6.138,18.167,18.245,3.289,169.870,18.832,22.026,102.949,66.347
ENSG00000006016,0.302,0.315,0.306,60.106,0.000,1.847,0.294,0.979,1.766,0.251
ENSG00000006025,35.871,3.320,13.540,1.650,0.000,83.823,7.887,30.212,39.759,8.712
ENSG00000006042,48.070,1.106,27.245,79.642,0.119,69.924,13.922,103.885,347.186,12.888
ENSG00000006071,2118.968,0.933,690.086,7.939,0.098,5264.291,851.552,4.578,28.444,4131.553
ENSG00000006118,4.757,10.113,21.086,24.747,0.021,66.571,8.882,36.991,178.311,113.058
ENSG00000006128,0.000,0.000,0.319,0.809,0.000,25.932,0.000,0.498,5.813,0.027
ENSG00000006194,52.332,3.809,37.957,15.554,0.453,136.466,21.854,24.005,82.332,56.969
ENSG00000006210,24.561,4.819,19.464,1.876,0.669,85.249,1.382,21.935,427.805,2.916
ENSG00000006327,72.946,18.966,45.120,138.794,0.543,320.627,62.723,470.646,1750.549,130.797
ENSG00000006432,56.204,0.122,36.805,0.297,0.124,302.709,22.513,16.538,65.967,67.030
ENSG00000006453,40.068,0.618,47.127,2.599,0.243,119.306,42.031,164.633,388.827,36.832
ENSG00000006468,732.237,0.712,26.161,24.177,0.000,340.068,102.204,0.262,14.243,78.018
ENSG00000006530,83.034,10.893,39.116,14.736,6.259,300.864,28.846,34.523,95.826,92.226
ENSG00000006534,22.835,1.139,37.763,3.992,14.616,125.798,3.371,9.993,98.731,5.214
ENSG00000006606,0.000,0.000,0.220,136.197,0.000,0.314,0.000,0.000,0.495,0.016
ENSG00000006747,181.550,0.356,56.671,0.856,4.483,261.665,29.268,2.401,15.444,128.384
ENSG00000006831,40.914,2.401,12.382,17.774,5.761,233.956,19.431,45.214,109.011,49.620
ENSG00000007062,0.809,0.152,18.016,0.088,0.351,1.772,1.323,45.988,664.460,1.535
ENSG00000007237,5.345,0.110,23.469,38.213,2.655,17.971,0.896,0.955,23.168,1.531
ENSG00000007264,2.796,11.322,9.377,0.085,0.316,9.571,1.030,1.143,5.827,1.182
ENSG00000007306,0.640,0.500,12.445,0.026,0.021,2.598,0.620,7.711,3244.635,0.954
ENSG00000007341,61.038,8.102,51.329,15.060,1.240,203.370,30.845,14.258,70.173,83.779
ENSG00000007372,2159.306,0.047,345.824,0.876,0.085,4215.192,251.408,2.449,18.196,1535.584
ENSG00000007402,144.960,0.280,22.059,0.520,0.118,483.848,37.563,1.089,6.887,67.682
ENSG00000007516,313.030,5.524,186.492,4.293,0.000,765.960,376.245,8.191,38.930,198.430
ENSG00000007944,51.917,16.848,5.733,3.181,0.000,76.987,27.689,12.786,45.442,28.509
