Gene,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
TSPAN6,0.33009300480161174,0.7461596100807619,0.8189897460625322,0.7449594731842762,0.8204258205186521,0.6676853511281378,0.7787693887443132,0.6757033043278864,0.5614428494798632,0.5363216133254745
CFH,0.24436189220065802,0.12288614757436406,0.16777540760206844,0.17622823022089013,0.1404607690558437,0.14392331377937842,0.13006578278443764,0.17107850726619633,0.08125517924694134,0.18497421657843885
GCLC,0.2017214425291816,0.20573621732584169,0.25412227742559673,0.23651900671791853,0.23785558716936916,0.24058926526322674,0.21854617200263782,0.22237290523745662,0.23276758565692943,0.22358835182547357
LAS1L,0.31056271897932786,0.3006104607174701,0.29183774858720324,0.2774816486575055,0.26765670572406736,0.26028225420069234,0.3067259299302746,0.284541956378428,0.3001837067712406,0.25731884008240963
CFTR,0.1558754751141128,1.75494725553313,2.4844386567562036,2.1379832160290606,1.9842465564309268,1.8278292050836311,0.9234116559792928,1.4618815729045584,1.08237230410095,2.608669753628669
ANKIB1,0.18816233146085204,0.19426911084714327,0.22418970784301706,0.2287532446373175,0.22509660460975212,0.2090939807369398,0.19326030665631033,0.20808292311426443,0.20381258866966617,0.20553683079245344
RAD52,0.1445877440257122,0.1666092777108623,0.16882386072814554,0.1786344542587133,0.17512827271279477,0.16956161281527432,0.17553594624179644,0.17333795745779534,0.15910012704731638,0.16647226388768038
LAP3,0.43040517793336946,0.3813430469854664,0.4328492806385751,0.4201809944360016,0.4238092333664609,0.39018025126536005,0.41258633147632623,0.4225583261443855,0.3220659106032554,0.37374014183491233
HS3ST1,0.7231465967369685,0.5809051802919537,0.3117924055311737,0.2726248088358343,0.11379904255940229,0.2254619661529613,0.6407927843733898,0.35085580071506745,0.5976510440569996,0.23883972412837298
AOC1,0.01297785256949129,0.02168638962781024,0.021414790909148638,0.02982561567029792,0.027346214278957247,0.03842818463209973,0.019901101597312402,0.026063628042687963,0.022767648293414534,0.045217922007092716
SNX11,0.37445624857342336,0.33246164855106414,0.2641088328919132,0.2690012840630076,0.2271643109327217,0.2423616107549175,0.33944239127576054,0.28274966837407195,0.3409070795358351,0.2489756002167559
KLHL13,0.048897663866302586,0.03653520381040199,0.04142581433594368,0.04379933162809688,0.04465579786952823,0.04069682726158651,0.036040668962568564,0.03804394833552893,0.03882915434932683,0.03868679143751527
DBNDD1,0.17571955546150844,0.18593667609731637,0.18026378253094413,0.1325764440340057,0.2056383952330269,0.19987918434487198,0.1565977955536532,0.1540453805171364,0.17861739141610833,0.16793808545640246
TFPI,1.3999048756141625,0.8366901501373656,0.9266219865212781,0.9928899950561791,0.92013426692091,1.026364491051027,0.882498220115024,1.0370901155302013,0.7846877396251741,1.0886766266865977
MTMR7,0.0974927211024476,0.1094191280169283,0.1271924634940312,0.17677867803835964,0.15424023518920743,0.12646693080823895,0.12778892562691646,0.12554603226137334,0.13708430951935574,0.13217678974517796
PLXND1,0.32481950519155645,0.5352562647580784,0.5083231567375378,0.5478487721316165,0.570177797735134,0.377138779465334,0.7124158501037082,0.5360710550916726,0.38694240775566335,0.14333978807462588
CD38,0.6888425232713139,0.4826635529888089,0.20150586408042342,0.17668711282430974,0.017880675606973262,0.1424555822714208,0.5598652671960468,0.2698936911770817,0.5255592704071816,0.14672914118226982
CAMKK1,0.17362104366052583,0.1935092834485433,0.17047646218272516,0.15472699592795766,0.1525648745169946,0.1410595437323632,0.1762623032556482,0.17025480626049067,0.21898039063368885,0.14066678998310728
RECQL,0.61717327424514,0.3610008528227278,0.3366697805572963,0.36729326590950606,0.28684623231335615,0.29410776424399265,0.421568942879448,0.4092236074215708,0.3213347753812753,0.3222812441739566
VPS50,0.18531754907948741,0.26828438534037435,0.2617297945601682,0.2638887074802919,0.26605358393043055,0.23145375539418916,0.28820653967882565,0.25310331260153146,0.24695387699643917,0.19651767757201943
HSPB6,0.11639510564490305,0.05574301683587038,0.06632609189748934,0.057784111247903856,0.05241774164961659,0.03814684487153287,0.05159701249072188,0.07922770033033619,0.04839686962838852,0.05327531277218502
