from	to
1007_s_at	DDR1
1007_s_at	MIR4640
1053_at	RFC2
117_at	HSPA6
121_at	PAX8
1255_g_at	GUCA1A
1294_at	MIR5193
1294_at	UBA7
1316_at	THRA
1320_at	PTPN21
1405_i_at	CCL5
1431_at	CYP2E1
1438_at	EPHB3
1487_at	ESRRA
1494_f_at	CYP2A6
1552256_a_at	SCARB1
1552257_a_at	TTLL12
1552258_at	LINC00152
1552258_at	LOC101930489
1552261_at	WFDC2
1552263_at	MAPK1
1552264_a_at	MAPK1
1552266_at	ADAM32
1552269_at	SPATA17
1552271_at	PRR22
1552272_a_at	PRR22
1552274_at	PXK
1552275_s_at	PXK
1552276_a_at	VPS18
1552277_a_at	MSANTD3
1552278_a_at	SLC46A1
1552279_a_at	SLC46A1
1552280_at	TIMD4
1552281_at	SLC39A5
1552283_s_at	ZDHHC11
1552283_s_at	ZDHHC11B
1552286_at	ATP6V1E2
1552287_s_at	AFG3L1P
1552288_at	CILP2
1552289_a_at	CILP2
1552291_at	PIGX
1552293_at	TMEM196
1552295_a_at	SLC39A13
1552296_at	BEST4
1552299_at	AK9
1552301_a_at	CORO6
1552302_at	TMEM106A
1552303_a_at	TMEM106A
1552304_at	ALG10
1552306_at	ALG10
1552307_a_at	TTC39C
1552309_a_at	NEXN
1552310_at	C15orf40
1552311_a_at	RAX2
1552312_a_at	MFAP3
1552314_a_at	EYA3
1552315_at	GIMAP1
1552316_a_at	GIMAP1
1552318_at	GIMAP1
1552319_a_at	KLK8
1552320_a_at	CCDC65
1552321_a_at	CCDC65
1552322_at	FAM122C
1552323_s_at	FAM122C
1552325_at	CCDC11
1552326_a_at	CCDC11
1552327_at	ARMCX4
1552329_at	RBBP6
1552330_at	CENPBD1
1552332_at	TRIOBP
1552334_at	TRIOBP
1552335_at	CATSPER1
1552337_s_at	HOXD4
1552338_at	GSC
1552340_at	SP7
1552343_s_at	PDE7A
1552344_s_at	CNOT7
1552347_at	CRYZL1
1552348_at	PRSS33
1552349_a_at	PRSS33
1552354_at	C19orf26
1552355_s_at	C19orf26
1552359_at	MCMDC2
1552360_a_at	TIRAP
1552362_a_at	LEAP2
1552364_s_at	MSI2
1552365_at	SCIN
1552367_a_at	SCIN
1552368_at	CTCFL
1552370_at	C4orf33
1552372_at	C4orf33
1552373_s_at	C4orf33
1552375_at	ZNF333
1552377_s_at	TVP23C
1552378_s_at	RDH10
1552379_at	RDH10
1552381_at	SRSF12
1552383_at	FAM71A
1552384_a_at	FAM71A
1552386_at	GAPT
1552388_at	FLJ30901
1552388_at	SCUBE1
1552389_at	ERICH5
1552390_a_at	ERICH5
1552391_at	CCDC185
1552393_at	ENTHD1
1552394_a_at	ENTHD1
1552395_at	TSSK3
1552396_at	WFDC6
1552398_a_at	CLEC12A
1552399_a_at	BRF1
1552400_a_at	C15orf27
1552401_a_at	BACH1
1552401_a_at	GRIK1-AS2
1552402_at	CALML6
1552405_at	NLRP5
1552408_at	ODF4
1552409_a_at	ODF4
1552410_at	CLEC4F
1552411_at	DEFB106A
1552411_at	DEFB106B
1552412_a_at	DEFB106A
